Open,High,Low,Close,Volume,Year,Month,Day
47470,47860,47340,47520,394400,2015,12,7
47110,47660,46560,46720,700800,2015,12,4
48110,48310,47170,48210,916600,2015,12,3
49600,49640,48910,48980,514800,2015,12,2
49880,50080,49400,49890,616300,2015,12,1
49610,49980,49430,49780,487300,2015,11,30
49390,49840,49250,49640,489800,2015,11,27
48720,49480,48710,49330,498000,2015,11,26
48240,48500,47810,48480,404900,2015,11,25
48150,48320,47980,48230,317200,2015,11,24
48400,48500,47890,48210,420200,2015,11,20
48210,48870,47730,48350,713500,2015,11,19
48000,48400,47450,47480,585200,2015,11,18
47330,47650,46950,47400,645100,2015,11,17
46460,46770,46300,46440,474700,2015,11,16
47700,47820,46900,47490,726600,2015,11,13
47350,47890,47290,47880,376100,2015,11,12
47560,48200,47300,47420,542700,2015,11,11
46550,47650,46420,47600,574400,2015,11,10
46390,46880,46250,46720,737700,2015,11,9
44920,45430,44720,45400,499900,2015,11,6
44600,44920,44160,44770,482000,2015,11,5
43920,44870,43690,44350,688800,2015,11,4
43760,44470,43150,43220,442500,2015,11,2
43400,44560,42930,44380,734900,2015,10,30
44470,44480,42960,43420,524600,2015,10,29
44060,44190,43800,44130,357800,2015,10,28
44150,44280,43650,43780,524300,2015,10,27
44480,44500,43910,44000,451100,2015,10,26
43920,44290,43730,43870,880200,2015,10,23
43200,43700,43010,43220,468300,2015,10,22
43050,44080,42990,43810,615500,2015,10,21
43310,43520,42980,43200,312800,2015,10,20
43060,43580,42940,43130,585400,2015,10,19
43330,43680,43080,43400,570300,2015,10,16
42300,43290,41830,42870,748300,2015,10,15
42000,43530,41650,42730,1391000,2015,10,14
43600,43600,41970,42260,1425600,2015,10,13
44440,44910,43710,43900,2522700,2015,10,9
49380,49480,48350,48640,552800,2015,10,8
49750,50190,48910,49800,667900,2015,10,7
50390,50700,49580,50590,606400,2015,10,6
49260,49940,49110,49730,515100,2015,10,5
49120,49830,48600,48730,425900,2015,10,2
48370,49940,48030,49300,808500,2015,10,1
47700,48660,47280,48490,814000,2015,9,30
47140,47370,46690,47150,960200,2015,9,29
46850,47560,46400,47490,644100,2015,9,28
45410,46800,45410,46800,769700,2015,9,25
45000,46260,44660,45300,536700,2015,9,24
46710,47245,46160,46160,570000,2015,9,18
47075,47460,46665,47405,493800,2015,9,17
47550,47885,45895,46375,660100,2015,9,16
46700,47900,46655,47150,707200,2015,9,15
48060,48250,46020,46365,672500,2015,9,14
46160,47860,46060,47620,2153600,2015,9,11
47625,47995,45960,46925,1201700,2015,9,10
46950,49725,46260,49725,1322600,2015,9,9
47155,47270,45125,45170,608900,2015,9,8
46110,47595,45270,46665,696300,2015,9,7
48150,48345,46120,46465,667100,2015,9,4
49515,49550,47510,47795,699500,2015,9,3
46845,49595,46680,48400,946400,2015,9,2
48990,49145,47480,47480,725400,2015,9,1
50430,50640,48890,49265,700000,2015,8,31
50880,51090,50070,50830,645900,2015,8,28
51000,51380,49620,50290,749100,2015,8,27
47275,50710,46210,50620,1478500,2015,8,26
49900,51450,47660,47975,1550200,2015,8,25
51440,52890,50120,50900,1074700,2015,8,24
53130,53680,52140,52170,675800,2015,8,21
53920,54650,53250,54040,465800,2015,8,20
54130,54740,53740,53860,485500,2015,8,19
55500,55940,54400,54510,420900,2015,8,18
55390,55620,55110,55500,254500,2015,8,17
55090,55450,54470,54990,612900,2015,8,14
54880,55720,54320,55510,738900,2015,8,13
55000,55670,54000,54000,853500,2015,8,12
56540,56760,55020,55550,712200,2015,8,11
56050,57320,55910,56540,563000,2015,8,10
56430,57080,56200,56700,643700,2015,8,7
58880,58900,56920,57220,854100,2015,8,6
59580,59960,58440,58480,910800,2015,8,5
60450,61830,60360,61380,502800,2015,8,4
60820,61280,60440,60740,363300,2015,8,3
61550,61650,60670,61370,498200,2015,7,31
60800,61970,60740,61930,737700,2015,7,30
59880,60460,59480,60230,559600,2015,7,29
58050,59460,57820,59370,565800,2015,7,28
57840,58610,57520,58270,376900,2015,7,27
58900,59080,58210,58250,394400,2015,7,24
58800,60000,58700,59280,486000,2015,7,23
58510,59180,58500,58790,440000,2015,7,22
57800,59280,57580,59270,524100,2015,7,21
56840,57440,56760,57220,429000,2015,7,17
56100,56850,55900,56600,613000,2015,7,16
55840,56070,55240,55670,445300,2015,7,15
55010,55950,54780,55530,655900,2015,7,14
54000,54690,53650,54530,671300,2015,7,13
56000,56020,53740,54010,1901200,2015,7,10
55200,57460,54760,57460,1136200,2015,7,9
56250,56540,54810,55180,906400,2015,7,8
55920,56250,55640,56250,505900,2015,7,7
54570,55640,54320,54810,876900,2015,7,6
56130,56280,54880,55740,989600,2015,7,3
57780,58400,57200,57870,657100,2015,7,2
55850,56660,55700,56610,439300,2015,7,1
54900,55560,54530,55560,489700,2015,6,30
55500,56180,54550,54560,765900,2015,6,29
56490,56870,56130,56240,413600,2015,6,26
55390,57000,55360,55970,556400,2015,6,25
55300,55900,54900,55590,552500,2015,6,24
53960,55080,53780,55080,675700,2015,6,23
52380,53960,52350,53910,598500,2015,6,22
52340,52570,52140,52170,459700,2015,6,19
52590,52590,52080,52200,398500,2015,6,18
52550,52720,52050,52560,374400,2015,6,17
52660,53100,52340,52550,359800,2015,6,16
52320,52770,52290,52740,361900,2015,6,15
53400,53400,52440,52770,1304500,2015,6,12
51390,52980,51370,52980,726900,2015,6,11
50970,51440,50580,51000,493800,2015,6,10
51390,51580,50660,50660,517400,2015,6,9
51330,51750,51250,51720,453900,2015,6,8
50690,51060,50520,50960,356400,2015,6,5
51270,51430,50640,50740,432400,2015,6,4
51250,51270,50830,51030,476000,2015,6,3
51440,51500,51030,51320,356000,2015,6,2
51120,51440,50970,51250,351700,2015,6,1
50700,51640,50550,51300,588000,2015,5,29
51270,51490,50630,50970,524300,2015,5,28
50510,50980,50460,50930,424300,2015,5,27
50750,50950,50520,50880,474200,2015,5,26
50150,50810,50150,50670,359400,2015,5,25
50010,50400,49635,50300,395300,2015,5,22
50110,50460,49995,50100,317500,2015,5,21
50280,50630,50050,50200,509100,2015,5,20
49490,50230,49250,50010,728500,2015,5,19
48505,49130,48280,49035,297700,2015,5,18
48680,48940,48410,48565,429300,2015,5,15
49055,49150,48220,48275,666700,2015,5,14
48545,49545,48130,49515,638200,2015,5,13
48250,48620,47930,48335,556400,2015,5,12
47820,48450,47660,48450,498500,2015,5,11
47100,47790,47030,47120,822600,2015,5,8
47295,47500,47015,47105,608200,2015,5,7
47205,47830,47075,47590,554700,2015,5,1
48480,48480,47295,47295,832300,2015,4,30
48600,49145,48410,48930,567700,2015,4,28
48700,48710,48050,48050,481100,2015,4,27
49225,49435,48675,48705,422900,2015,4,24
49450,49600,48965,49395,545500,2015,4,23
48830,49340,48635,49245,549500,2015,4,22
48270,48500,47730,48385,481500,2015,4,21
47600,48310,47400,48075,504800,2015,4,20
48500,48595,47750,47760,534500,2015,4,17
49220,49270,48520,48600,466000,2015,4,16
49735,49860,49030,49185,460700,2015,4,15
49835,50080,49705,49805,377400,2015,4,14
50200,50350,49750,50150,468900,2015,4,13
49500,50650,49410,49700,1730300,2015,4,10
47715,48560,47685,48500,630800,2015,4,9
47380,47580,47095,47580,483600,2015,4,8
47410,47540,47020,47540,537700,2015,4,7
47395,47620,47235,47300,465200,2015,4,6
47280,47765,47200,47610,511000,2015,4,3
46865,47280,46505,47115,666400,2015,4,2
47180,47200,46410,46770,883600,2015,4,1
47500,47585,46495,46495,860000,2015,3,31
46455,47880,46430,47455,730600,2015,3,30
46610,47280,45720,46225,653300,2015,3,27
46800,47055,46210,46330,508200,2015,3,26
47125,47255,46525,46925,432400,2015,3,25
47145,47480,46865,46950,457000,2015,3,24
46900,47275,46620,47145,477000,2015,3,23
45670,46815,45670,46815,616800,2015,3,20
45585,45930,45410,45475,601700,2015,3,19
46295,46325,45760,46140,468200,2015,3,18
46810,46845,46175,46200,423600,2015,3,17
